Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      45 |         177 |       00:00:53 |       75.00% |       70.59% |       0.2229 |       0.6068 |          0.0100 |
|      45 |         178 |       00:00:53 |       87.50% |       76.47% |       0.2560 |       0.5991 |          0.0100 |
|      45 |         179 |       00:00:54 |       78.13% |       76.47% |       0.2862 |       0.5595 |          0.0100 |
|      45 |         180 |       00:00:54 |       78.13% |       76.47% |       0.2261 |       0.5259 |          0.0100 |
|      46 |         181 |       00:00:54 |       81.25% |       76.47% |       0.1995 |       0.4971 |          0.0100 |
|      46 |         182 |       00:00:55 |       78.13% |       76.47% |       0.3321 |       0.5434 |          0.0100 |
|      46 |         183 |       00:00:55 |       87.50% |       76.47% |       0.2374 |       0.5996 |          0.0100 |
|      46 |         184 |       00:00:55 |       84.38% |       76.47% |       0.1942 |       0.6487 |          0.0100 |
|      47 |         185 |       00:00:55 |       93.75% |       76.47% |       0.1086 |       0.7033 |          0.0100 |
|      47 |         186 |       00:00:56 |       81.25% |       70.59% |       0.4308 |       0.7561 |          0.0100 |
|      47 |         187 |       00:00:56 |       84.38% |       70.59% |       0.2617 |       0.7826 |          0.0100 |
|      47 |         188 |       00:00:56 |       71.88% |       70.59% |       0.3089 |       0.7937 |          0.0100 |
|      48 |         189 |       00:00:57 |       71.88% |       70.59% |       0.2781 |       0.7860 |          0.0100 |
|      48 |         190 |       00:00:57 |       75.00% |       70.59% |       0.3965 |       0.7650 |          0.0100 |
|      48 |         191 |       00:00:57 |       84.38% |       70.59% |       0.2117 |       0.7437 |          0.0100 |
|      48 |         192 |       00:00:57 |       81.25% |       70.59% |       0.2818 |       0.7296 |          0.0100 |
|      49 |         193 |       00:00:58 |       87.50% |       70.59% |       0.1779 |       0.7155 |          0.0100 |
|      49 |         194 |       00:00:58 |       81.25% |       76.47% |       0.3132 |       0.6884 |          0.0100 |
|      49 |         195 |       00:00:58 |       84.38% |       76.47% |       0.2022 |       0.6748 |          0.0100 |
|      49 |         196 |       00:00:58 |       75.00% |       76.47% |       0.2581 |       0.6622 |          0.0100 |
|      50 |         197 |       00:00:59 |       90.63% |       76.47% |       0.1406 |       0.6536 |          0.0100 |
|      50 |         198 |       00:00:59 |       81.25% |       76.47% |       0.2518 |       0.6228 |          0.0100 |
|      50 |         199 |       00:00:59 |       84.38% |       76.47% |       0.2065 |       0.5803 |          0.0100 |
|      50 |         200 |       00:01:00 |       87.50% |       82.35% |       0.1863 |       0.5427 |          0.0100 |
|======================================================================================================================|

trainacc =

   97.0588


valacc =

   82.3529


testacc =

   64.7059

layers
options

layers = 

  6x1 Layer array with layers:

     1   ''   Sequence Input          Sequence input with 13 dimensions
     2   ''   LSTM                    LSTM with 18 hidden units
     3   ''   Fully Connected         2 fully connected layer
     4   ''   Dropout                 50% dropout
     5   ''   Softmax                 softmax
     6   ''   Classification Output   crossentropyex

options = 

  TrainingOptionsADAM with properties:

           GradientDecayFactor: 0.9000
    SquaredGradientDecayFactor: 0.9990
                       Epsilon: 1.0000e-08
              InitialLearnRate: 0.0100
             LearnRateSchedule: 'none'
           LearnRateDropFactor: 0.1000
           LearnRateDropPeriod: 10
              L2Regularization: 0
       GradientThresholdMethod: 'l2norm'
             GradientThreshold: 1
                     MaxEpochs: 50
                 MiniBatchSize: 32
                       Verbose: 1
              VerboseFrequency: 50
                ValidationData: {{17×1 cell}  [17×1 categorical]}
           ValidationFrequency: 1
            ValidationPatience: Inf
                       Shuffle: 'once'
                CheckpointPath: ''
          ExecutionEnvironment: 'gpu'
                    WorkerLoad: []
                     OutputFcn: []
                         Plots: 'training-progress'
                SequenceLength: 'longest'
          SequencePaddingValue: 0
      SequencePaddingDirection: 'right'
          DispatchInBackground: 0
       ResetInputNormalization: 1
