Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      29 |         115 |       00:00:38 |       96.88% |       64.71% |       0.0691 |       0.8437 |          0.0100 |
|      29 |         116 |       00:00:38 |       93.75% |       58.82% |       0.1189 |       0.9629 |          0.0100 |
|      30 |         117 |       00:00:39 |      100.00% |       70.59% |       0.0259 |       0.7803 |          0.0100 |
|      30 |         118 |       00:00:39 |       96.88% |       76.47% |       0.0561 |       0.5306 |          0.0100 |
|      30 |         119 |       00:00:39 |       96.88% |       82.35% |       0.0675 |       0.5054 |          0.0100 |
|      30 |         120 |       00:00:40 |       93.75% |       76.47% |       0.1315 |       0.4946 |          0.0100 |
|      31 |         121 |       00:00:40 |      100.00% |       64.71% |       0.0402 |       0.8529 |          0.0100 |
|      31 |         122 |       00:00:40 |      100.00% |       64.71% |       0.0552 |       0.9083 |          0.0100 |
|      31 |         123 |       00:00:40 |      100.00% |       64.71% |       0.0569 |       1.0005 |          0.0100 |
|      31 |         124 |       00:00:41 |       87.50% |       64.71% |       0.3257 |       0.8359 |          0.0100 |
|      32 |         125 |       00:00:41 |      100.00% |       76.47% |       0.0348 |       0.7855 |          0.0100 |
|      32 |         126 |       00:00:41 |      100.00% |       70.59% |       0.0386 |       0.7659 |          0.0100 |
|      32 |         127 |       00:00:42 |       93.75% |       70.59% |       0.1176 |       0.7339 |          0.0100 |
|      32 |         128 |       00:00:42 |       93.75% |       64.71% |       0.1741 |       0.7396 |          0.0100 |
|      33 |         129 |       00:00:42 |       96.88% |       64.71% |       0.0600 |       0.6759 |          0.0100 |
|      33 |         130 |       00:00:43 |      100.00% |       64.71% |       0.0472 |       0.5976 |          0.0100 |
|      33 |         131 |       00:00:43 |       96.88% |       70.59% |       0.1098 |       0.5883 |          0.0100 |
|      33 |         132 |       00:00:43 |       96.88% |       70.59% |       0.0940 |       0.5781 |          0.0100 |
|      34 |         133 |       00:00:43 |      100.00% |       70.59% |       0.0335 |       0.5983 |          0.0100 |
|      34 |         134 |       00:00:44 |      100.00% |       70.59% |       0.0418 |       0.6143 |          0.0100 |
|      34 |         135 |       00:00:44 |       96.88% |       70.59% |       0.0686 |       0.6373 |          0.0100 |
